"work","type","celex","date"
"http://publications.europa.eu/resource/cellar/17388f9e-9361-4952-8d75-3879e25898c6","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32011R0583",2011-06-09
"http://publications.europa.eu/resource/cellar/3f3295fb-8625-4030-bd2c-6df5e77e5801","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32012R0418",2012-05-16
"http://publications.europa.eu/resource/cellar/e8fd9923-b043-11e6-aab7-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32016R2034",2016-11-21
"http://publications.europa.eu/resource/cellar/fad870c4-5e9a-41ed-adee-8aacbc24979c","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32011R1133",2011-11-08
"http://publications.europa.eu/resource/cellar/ec1f8bd6-b1b5-47d6-98a3-72a0ed5bfb25","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32011R0727",2011-07-25
"http://publications.europa.eu/resource/cellar/66a3e266-9ad3-11e3-82a3-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32014R0164",2014-02-20
"http://publications.europa.eu/resource/cellar/0f2da62e-c542-11e3-9fe4-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32014R0388",2014-04-10
"http://publications.europa.eu/resource/cellar/ca55442e-649f-11e3-ab0f-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32013R1335",2013-12-13
"http://publications.europa.eu/resource/cellar/4c76f875-8c9f-11e2-b5c3-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32012R0849R(01)",2013-03-14
"http://publications.europa.eu/resource/cellar/1c5a8783-4937-11e2-8762-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32012R1198",2012-12-13
"http://publications.europa.eu/resource/cellar/4f51b52f-0a7e-11e5-8817-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32015R0862",2015-06-03
"http://publications.europa.eu/resource/cellar/85062afd-764a-11e6-b076-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32016R1617",2016-09-08
"http://publications.europa.eu/resource/cellar/3a30e3f6-62d8-11e7-b2f2-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32017R1223",2017-07-05
"http://publications.europa.eu/resource/cellar/22b3c96d-2957-11e6-b616-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32016R0876R(01)",2016-06-03
"http://publications.europa.eu/resource/cellar/2f9e8046-3b92-11e7-a08e-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32017R0838",2017-05-17
"http://publications.europa.eu/resource/cellar/97ce9528-3a5b-11e3-a247-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32013R1007",2013-10-18
"http://publications.europa.eu/resource/cellar/67118b88-ba80-11e3-86f9-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32014R0336",2014-03-28
"http://publications.europa.eu/resource/cellar/7953527e-8b0f-11e2-b5c3-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32013R0207",2013-03-11
"http://publications.europa.eu/resource/cellar/b0a1aba0-6f9a-4c38-9023-4baa36fccf59","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32015R0038R(01)",2015-05-23
"http://publications.europa.eu/resource/cellar/d646e096-2cdd-4a5d-8016-60b0017b0d9a","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32012R0144R(01)",2012-04-19
"http://publications.europa.eu/resource/cellar/1888329d-489f-4e68-ad25-57d8c3a26059","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32011R1112",2011-11-03
"http://publications.europa.eu/resource/cellar/f8c587ec-1c12-11e2-91ce-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32012R0964",2012-10-18
"http://publications.europa.eu/resource/cellar/c97831ba-bd35-11e2-ab01-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32013R0446",2013-05-14
"http://publications.europa.eu/resource/cellar/2550abf2-265c-11e7-ab65-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32017R0713",2017-04-20
"http://publications.europa.eu/resource/cellar/4f586831-8a40-11e2-b5c3-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32013R0202",2013-03-08
"http://publications.europa.eu/resource/cellar/9ce3d539-665c-11e6-9b08-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32016R1398",2016-08-19
"http://publications.europa.eu/resource/cellar/7b52a563-df6a-11e6-ad7c-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32017R0107",2017-01-20
"http://publications.europa.eu/resource/cellar/26428256-088d-11e2-8e28-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32012R0319R(02)",2012-09-27
"http://publications.europa.eu/resource/cellar/293ebbb9-c885-11e4-bbe1-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32015R0407",2015-03-11
"http://publications.europa.eu/resource/cellar/e98333ce-1e52-11e6-ba9a-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32016R0781",2016-05-19
"http://publications.europa.eu/resource/cellar/1434831b-a0a2-11e5-b4a2-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32015R2316",2015-12-08
"http://publications.europa.eu/resource/cellar/9819db19-2c6c-11e6-b497-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32016R0024R(01)",2016-06-07
"http://publications.europa.eu/resource/cellar/861f5c61-39d8-11e6-a825-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32016R1018",2016-06-23
"http://publications.europa.eu/resource/cellar/e871075a-3017-11e4-8c3c-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32014R0933",2014-08-29
"http://publications.europa.eu/resource/cellar/191a1c87-1e3f-4a3e-818d-85c5761ecd40","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32013R0649",2013-07-08
"http://publications.europa.eu/resource/cellar/ac72378d-a4e2-11e7-837e-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32017R0890R(01)",2017-09-29
"http://publications.europa.eu/resource/cellar/6ba56d3c-4184-11e5-9f5a-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32015R0232R(01)",2015-08-13
"http://publications.europa.eu/resource/cellar/1ee617b9-c1e6-11e1-b84a-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32012R0569",2012-06-28
"http://publications.europa.eu/resource/cellar/2e41d28f-4946-11e2-8762-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32011R0038R(02)",2012-12-15
"http://publications.europa.eu/resource/cellar/02f156b7-4183-11e5-9f5a-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32015R1387",2015-08-12
"http://publications.europa.eu/resource/cellar/6d2097d8-9579-11e2-ab01-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32013R0282",2013-03-22
